"OpenFlights ID","Name","City","IATA","ICAO","Country","Country Code","Country Code (Alpha-2)","Country Code (Alpha-3)","Latitude","Longitude","Altitude","UTC","DST","Timezone","Type","Source"
3682,"Hartsfield Jackson Atlanta International Airport","Atlanta","ATL","KATL","United States","840","US","USA",33.6367,-84.428101,1026,-5,"A","America/New_York","airport","OurAirports"
3448,"General Edward Lawrence Logan International Airport","Boston","BOS","KBOS","United States","840","US","USA",42.36429977,-71.00520325,20,-5,"A","America/New_York","airport","OurAirports"
3697,"La Guardia Airport","New York","LGA","KLGA","United States","840","US","USA",40.77719879,-73.87259674,21,-5,"A","America/New_York","airport","OurAirports"
3876,"Charlotte Douglas International Airport","Charlotte","CLT","KCLT","United States","840","US","USA",35.2140007019043,-80.9430999755859,748,-5,"A","America/New_York","airport","OurAirports"
3747,"Chicago Midway International Airport","Chicago","MDW","KMDW","United States","840","US","USA",41.785999,-87.752403,620,-6,"A","America/Chicago","airport","OurAirports"
3486,"Cleveland Hopkins International Airport","Cleveland","CLE","KCLE","United States","840","US","USA",41.4117012024,-81.8498001099,791,-5,"A","America/New_York","airport","OurAirports"
3502,"Dallas Love Field","Dallas","DAL","KDAL","United States","840","US","USA",32.847099,-96.851799,487,-6,"A","America/Chicago","airport","OurAirports"
3751,"Denver International Airport","Denver","DEN","KDEN","United States","840","US","USA",39.861698150635,-104.672996521,5431,-7,"A","America/Denver","airport","OurAirports"
3645,"Detroit Metropolitan Wayne County Airport","Detroit","DTW","KDTW","United States","840","US","USA",42.2123985290527,-83.353401184082,645,-5,"A","America/New_York","airport","OurAirports"
3453,"Metropolitan Oakland International Airport","Oakland","OAK","KOAK","United States","840","US","USA",37.721298,-122.221001,9,-8,"A","America/Los_Angeles","airport","OurAirports"
3550,"George Bush Intercontinental Houston Airport","Houston","IAH","KIAH","United States","840","US","USA",29.9843997955322,-95.3414001464844,97,-6,"A","America/Chicago","airport","OurAirports"
3585,"Indianapolis International Airport","Indianapolis","IND","KIND","United States","840","US","USA",39.7173,-86.294403,797,-5,"A","America/New_York","airport","OurAirports"
3484,"Los Angeles International Airport","Los Angeles","LAX","KLAX","United States","840","US","USA",33.94250107,-118.4079971,125,-8,"A","America/Los_Angeles","airport","OurAirports"
3473,"Memphis International Airport","Memphis","MEM","KMEM","United States","840","US","USA",35.0424003601074,-89.9766998291016,341,-6,"A","America/Chicago","airport","OurAirports"
3576,"Miami International Airport","Miami","MIA","KMIA","United States","840","US","USA",25.7931995391846,-80.2906036376953,8,-5,"A","America/New_York","airport","OurAirports"
3717,"General Mitchell International Airport","Milwaukee","MKE","KMKE","United States","840","US","USA",42.9472007751465,-87.896598815918,723,-6,"A","America/Chicago","airport","OurAirports"
3858,"Minneapolis-St Paul International/Wold-Chamberlain Airport","Minneapolis","MSP","KMSP","United States","840","US","USA",44.882,-93.221802,841,-6,"A","America/Chicago","airport","OurAirports"
3768,"New Orleans NAS JRB/Alvin Callender Field","New Orleans","NBG","KNBG","United States","840","US","USA",29.82530022,-90.03500366,2,-6,"A","America/Chicago","airport","OurAirports"
3525,"Tinker Air Force Base","Oklahoma City","TIK","KTIK","United States","840","US","USA",35.414699554443,-97.386596679688,1291,-6,"A","America/Chicago","airport","OurAirports"
3416,"Orlando Executive Airport","Orlando","ORL","KORL","United States","840","US","USA",28.5455,-81.332901,113,-5,"A","America/New_York","airport","OurAirports"
3750,"Northeast Philadelphia Airport","Philadelphia","PNE","KPNE","United States","840","US","USA",40.081902,-75.010597,120,-5,"A","America/New_York","airport","OurAirports"
3462,"Phoenix Sky Harbor International Airport","Phoenix","PHX","KPHX","United States","840","US","USA",33.4342994689941,-112.012001037598,1135,-7,"N","America/Phoenix","airport","OurAirports"
3720,"Portland International Airport","Portland","PDX","KPDX","United States","840","US","USA",45.58869934,-122.5979996,31,-8,"A","America/Los_Angeles","airport","OurAirports"
3434,"Sacramento Mather Airport","Sacramento","MHR","KMHR","United States","840","US","USA",38.55390167,-121.2979965,98,-8,"A","America/Los_Angeles","airport","OurAirports"
3621,"San Antonio International Airport","San Antonio","SAT","KSAT","United States","840","US","USA",29.5337009429932,-98.4698028564453,809,-6,"A","America/Chicago","airport","OurAirports"
82,"Buttonville Municipal Airport","Toronto","YKZ","CYKZ","Canada","124","CA","CAN",43.8622016906738,-79.370002746582,650,-5,"A","America/Toronto","airport","OurAirports"
3536,"Salt Lake City International Airport","Salt Lake City","SLC","KSLC","United States","840","US","USA",40.7883987426758,-111.977996826172,4227,-7,"A","America/Denver","airport","OurAirports"
3520,"Ronald Reagan Washington National Airport","Washington","DCA","KDCA","United States","840","US","USA",38.8521,-77.037697,15,-5,"A","America/New_York","airport","OurAirports"
